Ubicación Tecnica	Descripción
PRFSPR69	RESISTENCIA CAL1 CAMARA B
PRFSPR71	RESISTENCIA CAL2 CAMARA B
PRFSPR73	SISTEMA VIBRADOR TOLVA
PRFSPR75	TK ALMACENAMIENTO FLY ASH
PRFSPR77	SISTEMA SMOOT No.9
PRFSPR79	SISTEMA SMOOT No.10
PRFSPR81	SISTEMA SMOOT No.11
PRFSPR83	SISTEMA SMOOT No.12
PRFSPR85	SISTEMA SMOOT No.13
PRFSPR87	SISTEMA SMOOT No.14
PRFSQC		QUIMICOS CALDERAS
PRFSQC01	BBA1 FOSFATO C5               
PRFSQC03	BBA2 FOSFATO C7               
PRFSQC05	BBA3 FOSFATO C6               
PRFSQC07	BBA SODA C7                   
PRFSQC09	BBA SODA C5                   
PRFSQC11	BBA SODA C6                   
PRFSQC12	BBA7 SODA STAND BY            
PRFSQC13	BBA 1 AMINA C4&5
PRFSQC14	BBA 2 AMINA C4&5
PRFSQC15	BBA 1 ELIMIN-OX
PRFSQC16	BBA 2 ELIMIN-OX
PRFSQC17	AGIT TK FOSFATO               
PRFSQC18	BBA 1 FOSFATO C4&5
PRFSQC19	BBA 2 FOSFATO C4&5
PRFSQC20	BBA 3 FOSFATO C4&5
PRFSQC21	BBA 4 FOSFATO C4&5
PRFSSC		TRANSPORTE DE CENIZA
PRFSSC01	BANDA DEL TORNILLO DE CENIZA TR1
PRFSSC03	TORNILLO TRANSPORTADOR CENIZA   TA2
PRFSSC07	BANDA TRANSPORTE CENIZA TR2
PRFSSC09	BANDA TRANSPORTE CENIZA TR3
PRFSSC11	BANDA TRANSPORTE CENIZA TR4
PRFSSC13	SISTEMA HIDRAULICO TOLVA
PRFSSC15	BBA 1 SIST CENIZA
PRFSSC17	BBA 2 SISTEMA DE CENIZAS
PRFSSC19	TOLVA DE CENIZAS 1
PRFSSC21	TOLVA DE CENIZAS 2
PRFSSC23	BBA FLYGT
PRFSSC25	BANDA DEL HIDRASIVE            
PRFSSC27	TORNILLO TRANSPORTADOR CENIZA TA3
PRFSSC29	TOLVA DE FLYASH
PRFSSC31	TOLVA CENIZA INTERMEDIA 10M3
PRFSSC33	FONDO VIBRANTE TOLVA CENIZA INTERMEDIA
PRFSSC35	TRANSPORTADOR CENIZA INTERMEDIA
PRFSSC37	EXTRACTOR SOTANO C5
PRFSSC39	TORNILLO TRANSPORTADOR CENIZA TA4
PRFSSC41	BANDA TRANSPORTE CENIZA TR5
PRFSSC43	BANDA TRANSPORTE CENIZA TR6
PRFSSC45	BANDA TRANSPORTE CENIZA TR7
PRFSTC		TRANSPORTE DE CARBON
PRFSTC01	VIBRADOR TOLVA PATIO DE CARBON
PRFSTC02	TOLVA DE CARBON C5
PRFSTC03	BANDA INCLINADA DE CARBON
PRFSTC04	BANDA HORIZONTAL DE CARBON
PRFSTC05	TRITURADOR DE CARBON
PRFSTC06	ASPERSORES ALIMENTACION CARBON
PRFSTC07	ELEVADOR PPAL DE CARBON
PRFSTC08	ELEVADOR AUXILIAR DE CARBON    
PRFSTC09	MOTOREDUCTOR 1 SINFIN
PRFSTC10	MOTOREDUCTOR 2 SINFIN
PRFSTC11	BANDA MAGNETICA SISTEMA DE CARBON
PRFSTC12	TORNILLO ALIMENTADOR TOLVA CARBON C5
PRFSTC13	BOMBA ACHIQUE CARCAMO ELEVADOR
PRFSTE		TECHO CALDERA 4 Y 5
PRFSTE01	ESTRUCT METAL TECHO CALDERA 4
PRFSTE02	CUBIERTA TECHO CALDERA 4
PRFSTE03	ESTRUCT METAL TECHO CALDERA 5
PRFSTE04	CUBIERTA TECHO CALDERA 5
PRFSTE05	ESTRUCTURA METALICA TECHO TG3
PRFSTE06	CUBIERTA TECHO TG3
PRFSTU		TUBERIAS
PRFSTU01	TUBERIAS PLANTA DE VAPOR
PRFT		SERVCIOS  PLANTA DE FUERZA
PRFTCB		COMBUSTIBLES
PRFTCB01	TK ALMACENAMIENTO GAS PROPANO
PRFTCB03	BBA SUMINISTRO GAS PROPANO MONTACARGAS
PRFTCB11	SUBESTACION GAS NATURAL SKCC
PRFTED		CENTRO DE SERVCIOS  PLANTA DE FUERZA
PRFTED01	CENTRO DE SERVCIOS MECANICO PWP
PRFW		PLANTA DE AGUA
PRFWAE01	TK ALMACENAMIENTO POLIMERO FLOCULACION
PRFWAL		ALUMBRE LIQUIDO
PRFWAL01	TK ALUMBRE LIQUIDO
PRFWAL03	BBA 1 DE ALUMBRE
PRFWAL05	BBA 2 DE ALUMBRE
PRFWAL07	BBA 3 DE ALUMBRE CON EMERG
PRFWAL09	BBA 4 DE ALUMBRE 
PRFWAL11	BBA 5 DE ALUMBRE
PRFWAL13	BBA 6 DE ALUMBRE
PRFWAL14	BBA DESCARGUE ALUMBRE
PRFWAS		ACIDO SULFURICO
PRFWAS01	BBA 1 TK ACIDO SULFURICO
PRFWAS02	BBA 2 TK ACIDO SULFURICO 
PRFWAS03	TK ALMACENAMIENTO ACIDO SULFURICO
PRFWAS04	TK DIARIO ACIDO SULFURICO S4,5&6
PRFWAS05	TK DIARIO ACIDO SULFURICO S1&2
PRFWB014	PTBO
PRFWB1		CASA BOMBAS 1
PRFWB101	BBA 1 ENFRIAMIENTO PWP
PRFWB102	BBA 2 ENFRIAMIENTO PWP
PRFWB103	BBA 1 INDUSTRIAL M3 M4
PRFWB104	BBA 2 INDUSTRIAL M3 M4
PRFWB105	BBA ENFRIAMIENTO JOYS
PRFWB107	BBA JOKEY C.INCENDIO MOLINOS 61-PF2-EPA4
PRFWB109	BBA DIESSEL CONTRA INCENDIO
PRFWB111	BBA PRINCIPAL CONTRA INCENDIO
PRFWB2		CASA BOMBAS 2
PRFWB201	BBA 1 AGUA INDUSTRIAL A M6
PRFWB202	BBA 2 AGUA INDUSTRIAL A M6
PRFWB203	BBA AGUA INDUSTRIAL A M1 
PRFWB204	BBA 2 CALIE PPEL              
PRFWB205	BBA 1 AGUA CALIENTE A PULPAPEL
PRFWB206	BBA 2 AGUA CALIENTE PULPAPEL
PRFWB3		CASA BOMBAS 3
PRFWB301	BBA 1 CONDENSADO TGS
PRFWB302	BBA 2 CONDENSADO TGS
PRFWB303	BBA 3 CONDENSADO TGS
PRFWB4		CASA BOMBAS 4
PRFWB401	BOMBA 1 AGUA FRIA PPEL
PRFWB402	BOMBA 2 AGUA FRIA PPEL
PRFWBA		BOMBAS DE ACHIQUE
PRFWBA01	BOMBA 1 DESAGÜE M6
PRFWBA02	BOMBA 2 DESAGÜE M6
PRFWBA03	BOMBA ACHIQUE CASA 1
PRFWBA05	BOMBA ACHIQUE CASA 2
PRFWBA07	BOMBA ACHIQUE CASA 3
PRFWBA09	BOMBA ACHIQUE CASA 4
PRFWBA11	BOMBA ACHIQUE CARCAMO 
PRFWBA13	BOMBA WILDEN
PRFWBA15	BOMBA ACHIQUE SOTANO SUBESTACION 115 KV
PRFWBO		BOCATOMA
PRFWBO01	BBA 1 BOCATOMA 
PRFWBO02	BBA 2 BOCATOMA
PRFWBO03	BBA 3 BOCATOMA
PRFWBO05	BBA 4 BOCATOMA
PRFWBO06	BBA 5 BOCATOMA BARCAZA No.1
PRFWBO07	CEDAZO GIRATORIO
PRFWBO09	PUENTE GRUA BOCATOMA
PRFWBO11	ALUMBRADO BOCATOMA
PRFWBO12	BBA 6 BOCATOMA BARCAZA No.2
PRFWBO14	BBA 7 BOCATOMA BARCAZA No.3
PRFWBO16	BBA 8 BOCATOMA BARCAZA No.4 
PRFWBO18	BBA 9 BOCATOMA BARCAZA No.5
PRFWCL		CLARIFICACION
PRFWCL01	AGITADOR CLARIFICADOR 1
PRFWCL02	TK CLARIFICADOR #1
PRFWCL03	RASTR CLARIFICADOR 1
PRFWCL04	TK CLARIFICADOR #2
PRFWCL05	AGITADOR CLARIFICADOR 2
PRFWCL07	RASTRILLO CLARIFICADOR 2
PRFWCL09	ALUMBRADO CLARIFICADOR
PRFWCL11	BBA LODOS CLARIFICADOR  N° 1 
PRFWCL13	BBA  LODOS CLARIFICADOR  N° 2 
PRFWCL15	BBA CLEANERS LODOS 
PRFWCM		CENTRO DE CONTROL MOTORES
PRFWCM01	CCM BOCATOMA
PRFWDE		DESMINERALIZACION
PRFWDE01	SISTEMA DESMINERALIZADOR 1
PRFWDE02	SISTEMA DESMINERALIZADOR 2
PRFWDE03	SISTEMA DESMINERALIZADOR 3
PRFWDE04	SISTEMA DESMINERALIZADOR 4
PRFWDE05	BBA TK AGTADOR 100 
PRFWDE07	SISTEMA DESMINERALIZADOR 5
PRFWDE08	SISTEMA DESMINERALIZADOR 6
PRFWDE09	ANION FUERTE SISTEMA DESMINERALIZADO 4
PRFWDE10	SISTEMA DESMINERALIZADOR 7
PRFWDU		DUCHAS EMERGENCIA
PRFWDU01	DUCHA EMERG LABORATORIO AGUAS
PRFWDU02	DUCHA EMERG TK 4 AGUA INDUSTRIAL
PRFWDU03	DUCHA EMERG TK ACIDO SULFURICO
PRFWDU04	DUCHA EMERG DESCARGUE HIPOCLORITO
PRFWDU05	DUCHA EMERG TK HIPOCLORITO
PRFWDU06	DUCHA EMERG BOCATOMA
PRFWDU07	DUCHA EMERG TK AGUA FILTRADA
PRFWDU09	DUCHA EMERG SISTEMA DESMINERALIZADOR 1
PRFWDU11	DUCHA EMERG SISTEMA DESMINERALIZADOR 2
PRFWDU13	DUCHA DE EMERG TK AGUA POTABLE
PRFWDU14	DUCHA DE EMERG FILTRO CENTROL
PRFWDU15	DUCHA EMERG 1ER PISO CLARIFICADOR 2
PRFWDU16	DUCHA EMERG PORTAFEED HIPOCLORITO
PRFWED		ESTRUCTURAS
PRFWED01	EDIFICIO PLANTA DE AGUA
PRFWED03	ALUMBRADO DEL DESMINERALIZADOR
PRFWED05	ALUMBRADO CENTRO DE SERVCIOS  SG
PRFWED07	CENTRO DE CAPACITACION
PRFWED09	ALUMBRADO CASA BOMBAS
PRFWEN		Subestación eléctrica 
PRFWEN01	SUBESTACION 01 
PRFWEN02	SUBESTACION 02 
PRFWEN03	SUBESTACION 03 
PRFWF1		FILTRO 1 CENTROL
PRFWF101	FILTRO 1
PRFWF103	SOPLADOR FILTRO 1
PRFWF2		FILTRO 2 CENTROL
PRFWF201	FILTRO 2
PRFWF203	SOPLADOR FILTRO 2
PRFWFL		FILTRACION
PRFWFL01	BBA 1 AGUAFIL M6 
PRFWFL02	BBA 2 AGUAFIL M6    
PRFWFL03	BBA 1 RETR FILTS               
PRFWFL04	BBA 2 RETR FILTS   
PRFWFL05	POLIPASTO FILTS                
PRFWFL06	SISTEMA FILTRO                 
PRFWFL07	TK AGUA FILTRADA               
PRFWFL09	FILTRO AGUA INDUSTRIAL M1      
PRFWFL11	FILTRO AGUA RECUPERADA
PRFWHC		HIPOCLORITO
PRFWHC01	TK HIPOCLORITO
PRFWHC03	BBA 1 HIPOCLORITO CLARIF # 1
PRFWHC04	BBA 2 HIPOCLORITO CLARIF # 2
PRFWHC05	BBA 6 HIPOCLORITO AGUA POTABLE
PRFWHC06	BBA 3 HIPOCLORITO AGUA M4
PRFWHC07	BBA 4 HIPOCLORITO AGUA M3
PRFWHC09	BBA 5 HIPOCLORITO AGUA M6
PRFWHC11	BBA DESCARGA HIPOCLORITO
PRFWIN		AGUA INDUSTRIAL
PRFWIN01	TK 1 AGUA INDUSTRIAL
PRFWIN03	TK 2 AGUA INDUSTRIAL
PRFWIN05	TK 3 AGUA INDUSTRIAL
PRFWIN07	TK 4 AGUA INDUSTRIAL
PRFWLB		LABORATORIOS
PRFWLB01	LABORATORIO AGUAS PWP
PRFWLB03	AIRE ACC LABORATORIO PWP
PRFWLB05	ALUMBRADO LABORATARIOS PWP
PRFWPC		SEDIMENTADOR
PRFWPC01	SEDIMENTADOR N°1
PRFWPC02	SEDIMENTADOR N°2
PRFWPO		AGUA POTABLE
PRFWPO01	POZO PWP VYU-190
PRFWPO02	TK METALICO AGUA POTABLE
PRFWPO03	POZO CORRUGADO VYU-88
PRFWPO04	TK CONCRETO AGUA POTABLE
PRFWPO05	BBA 1 DIS.  AGUA POTABLE
PRFWPO06	BBA 2 DIS.  AGUA POTABLE
PRFWPO07	BBA 3 DIS.  AGUA POTABLE
PRFWPO08	FILTRO AGUA POTABLE
PRFWPQ		PREPARACION QUIMICOS
PRFWPQ01	BBA 1 QUIMICOS A CLARIFICADORES
PRFWPQ21	BBA 1 ULTRAFLOC
PRFWPQ23	BBA 2 ULTRAFLOC
PRFWPQ24	BBA 3 ULTRAFLOC
PRFWPQ29	BBA 3 DOSIF 7185               
PRFWPQ31	BBA 4 MEZCL 7185               
PRFWPQ33	BBA 4 FLOCULANTE
PRFWPQ34	BBA ULTRION DER                
PRFWPQ35	BBA ULTRION IZQ                
PRFWTE		TECHO CLARIFICADORES 1 Y 2
PRFWTE01	ESTRUCTURA METALICA TECHO CLARIFICADOR 1
PRFWTE02	CUBIERTA TECHO CLARIFICADOR 1
PRFWTE03	ESTRUCTURA METALICA TECHO CLARIFICADOR 2
PRFWTE04	CUBIERTA TECHO CLARIFICADOR 2
PRFWTE05	ESTRUCT METAL TECHO LABORATORIO DE AGUAS
PRFWTE06	CUBIERTA TECHO LABORATORIO DE AGUAS
PRFWTE07	ESTRUCTURA METALICA TECHO CSM PWP
PRFWTE08	CUBIERTA TECHO CSM PWP
PRFWTE09	ESTRUCTURA  METALICA TECHO BOCATOMA
PRFWTE10	CUBIERTA TECHO BOCATOMA
PRFWTE11	ESTRUCTURA METALICA TECHO CCM BOCATOMA
PRFWTE12	CUBIERTA TECHO CCM BOCATOMA
PRFWTE13	ESTRUCTURA METALICA TECHO CASA BOMBAS
PRFWTE14	CUBIERTA TECHO CASA BOMBAS
PRFWTR		AGUA TRATADA
PRFWTR01	BBA 3 AGUA TRATADA
PRFWTR02	BBA 1 AGUA TRATADA 
PRFWTR03	BBA 4 AGUA TRATADA
PRFWTR04	BBA 2 AGUA TRATA 
PRFWTR05	TK 100.000 GALONES
PRFWTU		TUBERIAS
PRFWTU01	TUBERIAS PLANTA DE AGUA
