Ubicación Tecnica	Descripción
PRFDDU00	DUCHA EMERG DESCARGUE QUIMICOS
PRFDDU01	DUCHA EMERG TK SODA CAUSTICA
PRFDDU02	DUCHA EMERG TK SAL INDUSTRIAL
PRFDDU03	DUCHA EMERG TRAMPA ORGANICOS 2
PRFDDU04	DUCHA EMERG ZONA QUIMICOS
PRFDDU05	DUCHA EMERG TK 100.000 GALONES
PRFDDU07	DUCHA EMERG PLATAFORMA VOLCADORA
PRFDET		CONDENSADO
PRFDOL		TANQUES ALMACENAMIENTO
PRFDOL16	TK ALMACENAMIENTO SODA
PRFDOL17	TK DIARIO H2SO4 
PRFDOL18	TK DIARIO SODA S4,5&6
PRFDOL19	BBA 1 TK ALMACENAMIENTO SODA
PRFDOL20	BBA 2 TK ALMACENAMIENTO SODA
PRFDOL21	BBA 1 TK ALMACENAMIENTO
PRFDOL22	TK DIARIO SODA S1&2
PRFDOL23	BB 3 TK ALMACENAMIENTO SODA
PRFDSA01	TK 1 ALMACENAMIENTO SALMUERA ALCALINA
PRFDSA02	TK 2 ALMACENAMIENTO SALMUERA ALCALINA
PRFDSA03	BBA DESCARGA SALMUERA ALCALINA
PRFDSA04	BBA 1 SALMUERA ALCALINA
PRFDSA05	BBA 2 SALMUERA ALCALINA
PRFDSA06	POLIPASTO PREPARACION DE SALMUERA
PRFDSA07	AGITADOR SALMUERA
PRFDSC		MANEJO DE SODA
PRFDSC01	BBA1 SODA DESMI
PRFDSC02	BBA 2 SODA DESMI
PRFE		PLANTA DE ENERGIA
PRFEAA		SISTEMA DE AIRE ACONDICIONADO
PRFEAA01	AIRE ACC CCM MEZANINE PWP UND.1
PRFEAA02	AIRE ACONDICIONADO 1 CE SUBEST 115KV
PRFEAA03	AIRE ACC CCM MEZANINE PWP UND.2
PRFEAA04	AIRE ACONDICIONADO 2 CE SUBEST 115KV
PRFEAA05	AIRE ACC I/A CALDERAS PWP UND1
PRFEAA07	AIRE ACC I/A CALDERAS PWP UND2
PRFEAA09	AIRE ACC LABORAT. AGUA DESM. UND. 1
PRFEAA11	AIRE ACC LABORAT. AGUA DESM. UND. 2
PRFEAA13	AIRE ACC LABORATORIO AMBIENTAL
PRFEAA15	AIRE ACG ACCURRAY CALDERA 4
PRFEAA17	SECADOR JOY 2
PRFEAA19	SECADOR JOY 1
PRFEAA21	SECADOR JOY 3                 
PRFEAA23	AIRE ACOND ACURRAY CALDERA 4 
PRFEAA25	AIRE ACONDICIONADO CE EXCIT TG3
PRFECM		CENTRO CONTROL MOTORES
PRFECM00	CCMS.P.W.P
PRFECM01	CCM 63 BOCATOMA
PRFECM03	CCM 60 CLARIFICADOR
PRFECM04	EXTRACTOR CUARTO ELECTRICO CLARIFICADORE
PRFECM05	CCM 61 CONDENSADORES-AGUA IND.
PRFECM06	CCM 61A  CONDEN AGUA INDUSTRIAL NVO
PRFECM07	CCM 62 DESMINERALIZADORES NUEVOS
PRFECM09	CCM 67 CENIZAS
PRFECM11	CCM 67-1 TURBO 3
PRFECM13	CCM 68 CALD. 5
PRFECM15	CCM 54 PWP
PRFECM17	CCM 54-3 TURBO2                
PRFECM19	CCM 58  CALDERA 4
PRFECM21	CCM 57 CONDENSADORES-AGUA IND.
PRFECM23	CCM 57-1 CLARIFICADOR 1
PRFECM25	CCM 57-2 DESMINERALIZADORES
PRFECM27	CCM PLANTA DE EMERGENCIA
PRFECM29	CCM 55 EQUIPOS AUXILIARES
PRFECM31	CCM 68-1 SISTEMA ALIM CARBON
PRFECM33	CCM 68-2 PRECIPITADOR
PRFECM35	CCM 69 TG1 Y CALDERA 3
PRFECM37	CUARTO CCM MEZANNINE
PRFECP		BANCOS CAPACITORES
PRFECP01	BANCO CAPACITORES CE05
PRFECP03	BANCO CAPACITORES CE11
PRFECS		SISTEMA DE CONTROL
PRFECS02	SISTEMA SCADA SE PPAL
PRFEDI		REDUCTOR
PRFEDIP1	REDUCT.600/400
PRFEDU		DUCHAS EMERGENCIA
PRFEDU01	DUCHA EMERG PLANTA ELECTRICA EMERGENCIA
PRFEDU02	DUCHA EMERG CCE CALDERA  4
PRFEDU03	DUCHA EMERG SOTANO TURBOGENERADOR 2
PRFEDU04	DUCHA EMERG SOTANO TURBOGENERADOR 3
PRFEED		EDIFICIOS
PRFEED01	EDIFICIO PLANTA DE ENERGIA
PRFEED03	INST. SALA TGS
PRFEED05	SELECT MOTORES
PRFEED07	ALUMBRADO TURBOS
PRFEED09	ALUMBRADO TURB/CAL-5
PRFEEN		ENERGIA
PRFEEN01	SIST.13.2 PWP
PRFEEN03	SIST.4.16 PWP
PRFEEN04	TRANSFORMADOR T4-8 SUBESTACION No 3
PRFEEN05	MEZANINE ELECTRICO
PRFEEN06	SUBESTACION TURBINAS
PRFEEN07	SUBESTACION CASA DE BOMBAS
PRFEEN08	T2-6 TRAFO MOT. 4160V CUARTO ELECT. PWP
PRFEEN09	T3-12 TRAFO CUARTO ELECTRICO PWP
PRFEEN10	EXTRACTOR CUARTO SUBESTACION TURBINAS
PRFEEN11	T2-5 TRAFO TIE LINE PWP
PRFEEN13	CELDA DE BAJA TOT CCM 58
PRFEEN15	SUBESTACION
PRFEEN17	CELDA DE BAJA TOT CCM 55
PRFEEN19	CELDA DE BAJA TOT CCM 57
PRFEEN21	CELDA DE BAJA TOT CCM 60
PRFEEN23	CELDA DE BAJA TOT CCM 61
PRFEEN25	CELDA DE BAJA TOT CCM 62
PRFEEN27	CELDA DE BAJA TOT CCM 67
PRFEEN29	CELDA DE BAJA TOT CCM 68
PRFEEN30	SUBESTACION PRINCIPAL 115 KV
PRFEEN31	TOTALIZADOR CCM 67-1
PRFEEN33	SUBESTACION BOCATOMA
